Channel,CH1,CH2
Frequency            :,  ?,5.668kHz
Period               :,  ?,0.176ms
PK-PK                :,3.047V,82.81mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,1.00000uS,1.00000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
599,-1406.250000,2.343750
600,-1406.250000,1.562500
601,-1406.250000,0.781250
602,-1406.250000,3.125000
603,-1406.250000,3.125000
604,-1406.250000,7.031250
605,-1406.250000,7.031250
606,-1406.250000,7.031250
607,-1406.250000,4.687500
608,-1406.250000,2.343750
609,-1406.250000,-2.343750
610,-1406.250000,-3.906250
611,-1406.250000,-6.250000
612,-1406.250000,-4.687500
613,-1406.250000,-2.343750
614,-1406.250000,7.031250
615,-1406.250000,14.062500
616,-1406.250000,24.218750
617,-1406.250000,30.468750
618,-1406.250000,35.156250
619,-1406.250000,28.125000
620,-1406.250000,19.531250
621,-1406.250000,6.250000
622,-1406.250000,-5.468750
623,-1406.250000,-15.625000
624,-1406.250000,-18.750000
625,-1406.250000,-21.875000
626,-1406.250000,-18.750000
627,-1406.250000,-16.406250
628,-1406.250000,-11.718750
629,-1406.250000,-9.375000
630,-1406.250000,-4.687500
631,-1406.250000,-3.125000
632,-1406.250000,1.562500
633,-1406.250000,2.343750
634,-1406.250000,4.687500
635,-1406.250000,5.468750
636,-1406.250000,9.375000
637,-1406.250000,11.718750
638,-1406.250000,15.625000
639,-1406.250000,19.531250
640,-1406.250000,24.218750
641,-1406.250000,26.562500
642,-1406.250000,30.468750
643,-1406.250000,32.031250
644,-1406.250000,32.812500
645,-1406.250000,29.687500
646,-1406.250000,28.906250
647,-1406.250000,23.437500
648,-1406.250000,17.968750
649,-1406.250000,10.937500
650,-1406.250000,5.468750
651,-1406.250000,-2.343750
652,-1406.250000,-3.125000
653,-1406.250000,-5.468750
654,-1406.250000,-4.687500
